X_nm,Y_nm,Z_display,Layer,Sampled_Reconstruction_Intensity_au,Source
7.631245975421218,9.861262142058823,8.197414810844693,1,52.0,intensity-weighted sampled reconstruction pixel
7.603674184895732,9.872397025142662,8.221262213222735,1,14.0,intensity-weighted sampled reconstruction pixel
7.535524621024871,8.403589139767055,7.789479212439404,1,37.0,intensity-weighted sampled reconstruction pixel
6.231479878403366,7.660244818523707,7.974671370072423,1,115.0,intensity-weighted sampled reconstruction pixel
8.35579501384248,9.345614196825226,8.02161438228598,1,21.0,intensity-weighted sampled reconstruction pixel
8.575603161883427,8.931439980702526,7.83750188727552,1,14.0,intensity-weighted sampled reconstruction pixel
7.418943560603521,7.880278160205897,7.924691481996587,1,55.0,intensity-weighted sampled reconstruction pixel
9.208199774260466,6.666677469796775,8.224317825967972,1,0.0,intensity-weighted sampled reconstruction pixel
6.862300940999524,9.259987675789704,7.777466009917537,1,55.0,intensity-weighted sampled reconstruction pixel
8.523639931862578,7.44330422652018,7.978153648501217,1,0.0,intensity-weighted sampled reconstruction pixel
7.027562114353676,10.08668651876241,8.15762112599037,1,110.0,intensity-weighted sampled reconstruction pixel
8.71975466891986,7.353945391790889,7.918994580850873,1,85.0,intensity-weighted sampled reconstruction pixel
6.928270444352679,6.8265780069203785,7.99070731126737,1,9.0,intensity-weighted sampled reconstruction pixel
9.55883679349861,9.586220306734893,8.219901043062471,1,102.0,intensity-weighted sampled reconstruction pixel
7.516770448041332,6.969913667339876,7.988443344778823,1,0.0,intensity-weighted sampled reconstruction pixel
7.506259246969576,7.09949615543681,7.83022380358739,1,0.0,intensity-weighted sampled reconstruction pixel
7.753232821323678,8.705692789371117,7.79379188616654,1,85.0,intensity-weighted sampled reconstruction pixel
8.479813533448663,9.780005503594802,8.204891623322377,1,68.0,intensity-weighted sampled reconstruction pixel
9.94311577187644,7.158735024720259,7.89227233010653,1,0.0,intensity-weighted sampled reconstruction pixel
6.056569776930773,7.638122275476593,8.001869397019693,1,43.0,intensity-weighted sampled reconstruction pixel
6.481724423647396,9.368246566899456,7.811722812401386,1,134.0,intensity-weighted sampled reconstruction pixel
8.055104543169763,10.303453109331643,7.9648813554532785,1,48.0,intensity-weighted sampled reconstruction pixel
9.538610871279104,8.337073065985823,8.197848538855057,1,18.0,intensity-weighted sampled reconstruction pixel
8.098193119758122,6.928425691447129,8.001109977070232,1,24.0,intensity-weighted sampled reconstruction pixel
7.217544547765254,6.10460887719363,8.21672216982907,1,14.0,intensity-weighted sampled reconstruction pixel
9.31961209194172,7.312698042939902,7.889064393129204,1,18.0,intensity-weighted sampled reconstruction pixel
7.992190883867998,6.864200069831988,8.00209081026381,1,0.0,intensity-weighted sampled reconstruction pixel
8.849987382646042,8.98859470911571,8.16538416423229,1,18.0,intensity-weighted sampled reconstruction pixel
8.929120190898228,6.811520695484604,7.976196083094722,1,41.0,intensity-weighted sampled reconstruction pixel
